id,address,speaker,age,b_date,r_date,turn_min_2,turn_min_1,turn,turn_plus_1,turn_plus_2,speech_act,consistency,utterance_type,answer,intonation,syn_level,connective_meaning,annotation,has_negation,modal,modal_bin
providence_alex,Providence/Alex/ale01.cha/305,MOT,1.407145791,12/5/00,5/2/02,CHI: yyy yyy yyy ,MOT: Ernie follows his nose .,"let's use our noses and find things to smell your beak or your snuffle will work just as well, smell the bread while it bakes and the blueberry pie (.) smell the freshly washed clothes as they're hung out to dry .",smell the earth and the trees after warm summer showers (.) breath in the sweet smell from a field full of flowers ,oh a Tweedle_Bug,description,consistent,declarative,N,0,NOM,AND,OR,no,,0
providence_alex,Providence/Alex/ale02.cha/1414,AD2,1.449383984,12/5/00,5/16/02,AD2: you got it (.) you got me ?,AD2:  wait does it look better like this ?,or like that (.) how does that look ?,AD2: pay attention now look,AD2: see like this (.) up here ,preference,inconsistent,interrogative,0,2,NOM,XOR,OR,no,,0
providence_alex,Providence/Alex/ale03.cha/771,MOT,1.487713895,12/5/00,5/20/02,CHI: yyy yyy yyy ,MOT: Ernie follows his nose .,"let's use our noses and find things to smell. your beak or your snuffle will work just as well, smell the bread while it bakes and the blueberry pie (.) smell the freshly washed clothes as they're hung out to dry .",smell the earth and the trees after warm summer showers (.) breath in the sweet smell from a field full of flowers ,oh a Tweedle_Bug,description,consistent,declarative,N,0,NOM,AND,OR,no,,0
providence_alex,Providence/Alex/ale04.cha/582,MOT,1.53816564,12/5/00,6/18/02,MOT: you scared me .,MOT: d'you [: do you] wanna help Mommy ?,or d'you [: do you] want to try something different .,MOT: who's that ?,CHI: yyy yyy yyy,preference,inconsistent,interrogative,0,2,SEN,XOR,OR,no,,0
providence_alex,Providence/Alex/ale04.cha/860,MOT,1.53816564,12/5/00,6/18/02,CHI: yyy yyy yyy ,MOT: Ernie follows his nose .,"let's use our noses and find things to smell your beak or your snuffle will work just as well, smell the bread while it bakes and the blueberry pie (.) smell the freshly washed clothes as they're hung out to dry .",smell the earth and the trees after warm summer showers (.) breath in the sweet smell from a field full of flowers ,oh a Tweedle_Bug,description,consistent,declarative,N,0,NOM,AND,OR,no,,0
providence_alex,Providence/Alex/ale04.cha/1794,MOT,1.53816564,12/5/00,6/18/02,CHI: yyy ,MOT: Alex maybe it's the bubbles,or maybe Mommy just stinks at this today .,MOT: woo I don't know if this one works ,MOT: there goes a couple ,options,consistent,declarative,N,0,SEN,XOR,OR,no,maybe,1
providence_alex,Providence/Alex/ale07.cha/1226,MOT,1.654325804,12/5/00,8/1/02,MOT: here's blue .,MOT: can Mommy have that one please ?,or do you want to play with that one ?,CHI: yyy .,"MOT: oh thank you , would you like me to make another one ?",preference,inconsistent,interrogative,AB,2,SEN,XOR,OR,no,,0
providence_alex,Providence/Alex/ale08.cha/1636,MOT,1.696563997,12/5/00,8/15/02,MOT: wouldjou [: would you] like to sit in your chair ? ,MOT:  sit down .," where wouldjou [: would you] like to sit , in your chair or the big chair ?",CHI:  yyy .,"MOT: alright , wait a minute ",preference,inconsistent,interrogative,AB,0,NOM,XOR,OR,no,would,1
providence_alex,Providence/Alex/ale08.cha/2091,MOT,1.696563997,12/5/00,8/15/02,MOT: this ?,CHI: yyy ,or the box ?,MOT:  up ,MOT: like that .,preference,inconsistent,interrogative,0,2,NOM,XOR,OR,no,,0
providence_alex,Providence/Alex/ale09.cha/1825,MOT,1.734893908,12/5/00,8/29/02,MOT: I think I'm going to give you a kiss .,MOT: oh can you go the other way instead of hurting your feet .,"or if you fall , you're gonna get hurt .",MOT: peekaboo .,MOT:  who's that ? ,options,consistent,declarative,N,0,SEN,AND,OR,no,,0
